;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
83;"Hometech ALFA-10YF 128GB 10.1"" IPS Tablet";Hometech;1.214,88 TL;%0;1.214,88 TL;% 0;1.214,88 TL;4,0;2 ;https://www.hepsiburada.com//hometech-alfa-10yf-128gb-10-1-ips-tablet-p-HBV00001CDAD1
84;"Apple iPad Pro 5. Nesil Wi-Fi 512 GB 12.9"" Tablet - Uzay Grisi MHNK3TU/A";Apple;15.299,00 TL;%4;14.699,90 TL;% 0;14.699,90 TL;5,0;1 ;https://www.hepsiburada.com//apple-ipad-pro-5-nesil-wi-fi-512-gb-12-9-tablet-uzay-grisi-mhnk3tu-a-p-HBCV000005L9TI
85;Tcl Tab 10 Max 64 GB Wifi;TCL;2.298,77 TL;%0;2.298,77 TL;% 0;2.298,77 TL;5,0;2 ;https://www.hepsiburada.com//tcl-tab-10-max-64-gb-wifi-p-HBCV000007NN96
86;"Lenovo Tab M7 TB-7305F 32GB 7"" IPS Tablet ZA550238TR";Lenovo;1.169,90 TL;%21;928,91 TL;% 0;928,91 TL;4,2;86 ;https://www.hepsiburada.com//lenovo-tab-m7-tb-7305f-32gb-7-ips-tablet-za550238tr-p-HBV00000VDDBI
87;Casper VIA.L30-K 64GB 10’’ IPS Tablet + Klavye;Casper;2.314,74 TL;%5;2.198,78 TL;% 0;2.198,78 TL;None;;https://www.hepsiburada.com//casper-via-l30-k-64gb-10-ips-tablet-klavye-p-HBCV00000AT9MN
88;"Hometech 7M 16GB 7"" IPS Tablet Uzay Gri";Hometech;499,00 TL;%10;449,96 TL;% 0;449,96 TL;4,2;168 ;https://www.hepsiburada.com//hometech-7m-16gb-7-ips-tablet-uzay-gri-p-HBV00000QCLWF
89;"Lenovo Tab M7 TB-7305F 7"" 16GB Tablet Koyu Gri ZA550189TR";Lenovo;899,00 TL;%22;699,00 TL;% 0;699,00 TL;4,4;85 ;https://www.hepsiburada.com//lenovo-tab-m7-tb-7305f-7-16gb-tablet-koyu-gri-za550189tr-p-HBV00000WNFXW
90;"Hometech Ht7 7"" 8gb IPS Tablet Beyaz";Hometech;398,96 TL;%0;398,96 TL;% 0;398,96 TL;None;;https://www.hepsiburada.com//hometech-ht7-7-8gb-ips-tablet-beyaz-p-HBCV00000ADEKT
91;"CASPER VIA.S30 4GB 64GB 10"" FHD TABLET";Casper;1.893,69 TL;%5;1.798,82 TL;% 0;1.798,82 TL;4,6;172 ;https://www.hepsiburada.com//casper-via-s30-4gb-64gb-10-fhd-tablet-p-HBV000011AI9O
92;Alcatel 1T 7 2020 Wifi+4G Tablet MT8765B;Alcatel;579,00 TL;%5;549,90 TL;% 0;549,90 TL;3,0;3 ;https://www.hepsiburada.com//alcatel-1t-7-2020-wifi-4g-tablet-mt8765b-p-HBV0000198THT
93;Apple iPad Pro 5. Nesil Wi-Fi Cellular 128 GB Tablet - Uzay Grisi MHR43TU/A;Apple;13.599,00 TL;%4;13.099,90 TL;% 0;13.099,90 TL;None;;https://www.hepsiburada.com//apple-ipad-pro-5-nesil-wi-fi-cellular-128-gb-tablet-uzay-grisi-mhr43tu-a-p-HBCV000005LA5A
94;"Everest Everpad SC-730 Panda 16GB 7"" WiFi Tablet Beyaz";Everest;538,95 TL;%0;538,95 TL;% 0;538,95 TL;4,0;27 ;https://www.hepsiburada.com//everest-everpad-sc-730-panda-16gb-7-wifi-tablet-beyaz-p-HBV00000OHDCA
95;"Lenovo Tab M10 HD TB-X505F 32GB 10.1"" IPS Wifi Tablet - Siyah ZA590015TR";Lenovo;1.449,00 TL;%21;1.148,89 TL;% 0;1.148,89 TL;None;;https://www.hepsiburada.com//lenovo-tab-m10-hd-tb-x505f-32gb-10-1-ips-wifi-tablet-siyah-za590015tr-p-HBV0000120XQG
96;"CASPER VIA.S30 4GB 64GB 10"" FHD TABLET";Casper;1.893,69 TL;%5;1.798,82 TL;% 0;1.798,82 TL;4,6;172 ;https://www.hepsiburada.com//casper-via-s30-4gb-64gb-10-fhd-tablet-p-HBV000011AI9O
97;"Lenovo Tab M10 HD TB-X505F 32GB 10.1"" IPS Wifi Tablet - Siyah ZA590015TR";Lenovo;1.449,00 TL;%21;1.148,89 TL;% 0;1.148,89 TL;None;;https://www.hepsiburada.com//lenovo-tab-m10-hd-tb-x505f-32gb-10-1-ips-wifi-tablet-siyah-za590015tr-p-HBV0000120XQG
98;"Hometech Alfa 7MRC 32 GB 7"" Tablet Gri";Hometech;509,95 TL;%0;509,95 TL;% 0;509,95 TL;3,0;30 ;https://www.hepsiburada.com//hometech-alfa-7mrc-32-gb-7-tablet-gri-p-HBV000012WZNW
99;Apple iPad Pro 3. Nesil Wi-Fi Cellular 256 GB Tablet - Uzay Grisi MHW73TU/A;Apple;11.299,00 TL;%5;10.699,90 TL;% 0;10.699,90 TL;None;;https://www.hepsiburada.com//apple-ipad-pro-3-nesil-wi-fi-cellular-256-gb-tablet-uzay-grisi-mhw73tu-a-p-HBCV000005LA5S
100;"Samsung Galaxy Tab E T560 8GB 9.6"" Tablet";Samsung;1.899,00 TL;%32;1.298,87 TL;% 0;1.298,87 TL;4,2;258 ;https://www.hepsiburada.com//samsung-galaxy-tab-e-t560-8gb-9-6-tablet-p-BD601536-S
101;"Lenovo Tab M10 HD 32GB 10.1"" Wi-Fi Tablet - Gri ZA6W0008TR";Lenovo;1.304,51 TL;%0;1.304,51 TL;% 0;1.304,51 TL;None;;https://www.hepsiburada.com//lenovo-tab-m10-hd-32gb-10-1-wi-fi-tablet-gri-za6w0008tr-p-HBCV00000C76TR
102;"Alfa 8mrc 32GB 8"" IPS Tablet";Hometech;714,93 TL;%0;714,93 TL;% 0;714,93 TL;5,0;1 ;https://www.hepsiburada.com//alfa-8mrc-32gb-8-ips-tablet-p-HBCV000006KE1E
103;"Apple iPad Pro 4.Nesil Wi-Fi 128GB 12.9"" Tablet - Gümüþ MY2J2TU/A";Apple;10.997,90 TL;%0;10.997,90 TL;% 0;10.997,90 TL;5,0;96 ;https://www.hepsiburada.com//apple-ipad-pro-4-nesil-wi-fi-128gb-12-9-tablet-gumus-my2j2tu-a-p-HBV00000SS5E0
104;Alcatel A3 16GB 10'' IPS Ýkisi Bir Arada Tablet Beyaz;Alcatel;749,00 TL;%7;698,93 TL;% 0;698,93 TL;2,7;3 ;https://www.hepsiburada.com//alcatel-a3-16gb-10-ips-ikisi-bir-arada-tablet-beyaz-p-HBV00000BBMCB
